OBJECTID_12,FID_Parks,objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_us,created_da,last_edite,last_edi_1,maintenanc,dpw_ac,GlobalID_2,Shape__Are,Shape__Len,FID_Neighborhood,FID_BlockG,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng_1,FID_Neighb,AREA,PERIMETER,NEIGHBOR_,NEIGHBOR_I,HOOD,HOOD_NO,ACRES,SQMILES,DPWDIV,UNIQUE_ID,SECTORS,Shape_Le_1,Shape_Ar_1,Shape_Le_2,Page_Numbe,Shape_Length,Shape_Area
1,0,1,7,4.027080690000000,175418.933019020012580,Neighborhood Park,NP,5,Alton Playground,Alton Park,Alton Park,Western,1680.937781009999981,5469398c-9490-4e55-b4d4-776bc4862a7e,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Southern,4.02708068633731,da0d2882-2417-459e-8ef9-a417abe0ebbb,28146.015625000000000,673.341515971604053,41,97,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636.000000000000000,0.000000000000000,+40.4126628,-080.0211465,8417.875608039999861,72,40706528.000000000000000,32676.169999999998254,73,2155,Beechview,8,938.803999999999974,1.460000000000000,5,23,5,32676.170007900000201,40706529.253899998962879,32742.447523099999671,0,0.005315776782119,0.000001729308353
2,1,2,50,6.745714300000000,293842.139732750016265,Neighborhood Park,NP,4,Dunbar Playground,Dunbar Park,Dunbar Park,Western,2666.556306819999918,5d9753a7-660a-4015-abb1-96fb651a03cf,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,6.74571430451881,b8f9d54d-524c-471a-ab3a-407498248674,47180.683593750000000,1068.128573398070102,61,184,42,003,281400,1,420032814001,Block Group 1,G5030,S,348105.000000000000000,0.000000000000000,+40.4496310,-080.0569283,8486.848118550000436,51,21011160.000000000000000,21289.383000000001630,52,2134,Crafton Heights,23,484.574999999999989,0.754000000000000,5,23,4,21289.383809099999780,21011159.537300001829863,21252.775980900001741,0,0.008690721893503,0.000002897764440
3,2,3,44,7.220285790000000,314514.391163500025868,Neighborhood Park,NP,13,Curto Park,Frank Curto Park,Frank Curto Park,State,4947.791340069999933,789bcaf2-11c5-4ada-82e8-e03ad3899319,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Schenley,7.22028579487693,01c4e4da-165e-4f1b-99bf-75ef45631820,50518.414062500000000,1980.856501924469967,4,5,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129.000000000000000,329216.000000000000000,+40.4544996,-079.9812762,24019.532864799999516,27,16947852.000000000000000,23903.078000000001339,28,2110,Strip District,80,390.863999999999976,0.608000000000000,1,23,13,23903.077852200000052,16947852.968299999833107,24019.532672099998308,0,0.016917586079032,0.000003102188294
4,3,4,38,4.223512880000000,183975.485272849997273,Neighborhood Park,NP,1,Cowley Playground,Cowley Park,Cowley Park,Northern,1706.739715460000070,d8f9288e-6a5e-4640-8245-97a8c6a95248,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,4.22351288285124,cc0a7aa9-3c18-408c-8b8e-9ce538545dab,29557.378906250000000,683.922877916079983,28,61,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750.000000000000000,0.000000000000000,+40.4611811,-079.9859947,14534.378599199999371,20,10717292.000000000000000,20630.793000000001484,21,2103,Troy Hill,84,247.169999999999987,0.384000000000000,1,94,1,20630.793160099998204,10717291.895899999886751,29583.620672199998808,0,0.005520817279899,0.000001814830131
5,4,5,121,5.192559030000000,226186.966458139999304,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.949165299999549,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,5.19255902683011,1a0f5318-3843-44d2-8ebd-3535cd8532e5,36340.355468750000000,838.911194598375005,53,149,42,003,202200,3,420032022003,Block Group 3,G5030,S,174657.000000000000000,0.000000000000000,+40.4580322,-080.0647449,7204.288830440000311,31,24807354.000000000000000,24066.419999999998254,32,2114,Sheraden,69,572.125000000000000,0.890000000000000,5,19,4,24066.420427299999574,24807353.402399998158216,24066.037200499999017,0,0.006955029760282,0.000002208863820
6,4,5,121,5.192559030000000,226186.966458139999304,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.949165299999549,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,5.19255902683011,1a0f5318-3843-44d2-8ebd-3535cd8532e5,36340.355468750000000,838.911194598375005,86,265,42,003,563000,4,420035630004,Block Group 4,G5030,S,342793.000000000000000,0.000000000000000,+40.4578183,-080.0705756,9978.225923410000178,29,3683600.500000000000000,9983.549000000000888,30,2112,Chartiers City,21,84.953999999999994,0.132000000000000,5,21,4,9983.549787579999247,3683600.394359999801964,9978.225998730000356,0,0.000927416945225,0.000000022402343
7,5,6,58,0.853850410000000,37193.575085340002261,Regional Park,RP,6,Eileen McCoy Parklet,Emerald View Park - Eileen McCoy Park,Emerald View Regional Park,Western,780.268137189999948,85e78b3f-6464-4be8-a756-695779735770,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Western,0.85385041001108,9763ac1a-8d25-4b00-9806-ca46a9ce2d96,5971.898437500000000,312.666485129927025,35,77,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630.000000000000000,0.000000000000000,+40.4386014,-080.0260996,13787.425038499999573,60,17364276.000000000000000,19320.405999999999040,61,2143,Duquesne Heights,25,400.468000000000018,0.623000000000000,5,57,6,19320.407046100001025,17364275.058699999004602,19324.721022000001540,0,0.002476535574550,0.000000366787693
8,6,7,172,6.621921060000000,288449.727618300006725,Neighborhood Park,NP,1,Spring Garden Field,Spring Garden Park,Spring Garden Park,Northern,1231.008936299999959,cafe92f4-0b45-42f4-9411-15363c7d50d1,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,6.62192106108062,ddff86b5-bbf7-430f-a88a-96275c88ff29,46351.183593750000000,1403.750104344260080,6,7,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576.000000000000000,0.000000000000000,+40.4632158,-079.9941680,12055.426146199999494,15,17550592.000000000000000,18197.819999999999709,16,2098,Spring Hill-City View,75,404.764999999999986,0.630000000000000,1,23,1,18197.819889900001726,17550591.772700000554323,18197.706072799999674,0,0.006107434039772,0.000001173134632
9,6,7,172,6.621921060000000,288449.727618300006725,Neighborhood Park,NP,1,Spring Garden Field,Spring Garden Park,Spring Garden Park,Northern,1231.008936299999959,cafe92f4-0b45-42f4-9411-15363c7d50d1,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Northern,6.62192106108062,ddff86b5-bbf7-430f-a88a-96275c88ff29,46351.183593750000000,1403.750104344260080,27,59,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183.000000000000000,0.000000000000000,+40.4600565,-079.9915198,7283.454921280000235,14,7653279.500000000000000,21452.690999999998894,15,2097,Spring Garden,74,176.506000000000000,0.275000000000000,1,18,1,21452.691884600000776,7653278.966629999689758,21430.368059100001119,0,0.006377111348296,0.000001672563886
10,7,8,190,22.541392750000000,981899.140689859981649,Community Park,CP,13,West Penn Park,West Penn Park,West Penn Park,State,4544.063110330000200,a0481df3-0fb0-4913-8d63-74cf6358656b,pgh.admin,11/2/2021 0:00:00,pgh.admin,11/2/2021 0:00:00,Parks - Schenley,22.541392752484,0ef973db-1563-4b63-935e-a9494b8dc1c2,157734.179687500000000,1820.336182500399900,4,5,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129.000000000000000,329216.000000000000000,+40.4544996,-079.9812762,24019.532864799999516,27,16947852.000000000000000,23903.078000000001339,28,2110,Strip District,80,390.863999999999976,0.608000000000000,1,23,13,23903.077852200000052,16947852.968299999833107,24019.532672099998308,0,0.002973929608427,0.000000000089171
